selling_price,city,house_age,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_basement,floors,scenic_views
340000,Redmond,18,3,2,1130,9879,0,2,0
381000,Redmond,18,3,2,1680,8946,740,1,0
620000,Redmond,20,4,2.5,2450,55387,0,2,0
735000,Redmond,21,4,2.5,3270,45537,0,2,0
628990,Redmond,19,4,2.5,2540,32647,0,2,0
850000,Redmond,18,4,3.5,3920,37122,0,2,0
630000,Redmond,22,3,2.5,2320,32772,0,2,0
633100,Redmond,21,4,2.5,2470,33305,0,2,0
737500,Redmond,21,4,2.5,3200,36276,0,2,0
665000,Maple Valley,10,3,3.5,3580,95832,0,1.5,0
729000,Maple Valley,9,3,3.25,2250,60548,0,1,0
635000,Sammamish,27,4,2.5,2470,77550,0,1,0
800000,Sammamish,16,4,3.75,2540,20662,0,2,0
759950,Sammamish,12,3,2.5,3100,23790,0,2,0
525000,Seattle,20,5,3,2450,4591,0,2,0
726500,Seattle,15,4,2.5,2180,3893,0,2,0
806000,Redmond,17,4,2.5,2500,206474,0,1,0
655500,Seattle,14,4,3.5,3380,8330,0,2,0
575000,Woodinville,18,4,2.5,2280,27441,0,2,0
421000,Seattle,14,3,2.5,2890,21780,0,2,0
530000,Seattle,8,4,4.5,4060,10800,0,2,0
378800,Kent,9,5,2.5,2740,5400,0,2,0
354000,Kent,9,4,2.5,2580,5476,0,2,0
370000,Kent,10,5,2.5,2740,5460,0,2,0
600000,Kirkland,13,4,2.5,2360,5226,0,2,0
540000,Seattle,9,3,2.5,2220,5279,0,2,0
410000,Woodinville,29,3,2.25,1790,5794,410,1.5,0
450000,Woodinville,28,3,2.5,1990,12866,0,2,0
345000,Maple Valley,2,4,2.5,2020,3600,0,2,0
318200,Maple Valley,5,3,2.5,1990,3644,0,2,0
359950,Maple Valley,7,4,3.5,2690,5564,0,2,0
910000,Sammamish,13,5,2.75,3750,8279,0,2,0
875000,Sammamish,13,5,3.5,3840,8279,0,2,0
367899,Maple Valley,0,3,2.5,2420,4725,0,2,0
369946,Maple Valley,0,3,2.5,2420,4725,0,2,0
389517,Maple Valley,0,4,2.5,2640,4725,0,2,0
307635,Maple Valley,0,3,2.5,1820,4200,0,2,0
387865,Maple Valley,0,3,2.5,2370,4200,0,2,0
324747,Maple Valley,0,3,2.5,2060,4742,0,2,0
351999,Maple Valley,0,3,2.5,2370,4200,0,2,0
326989,Maple Valley,0,3,2.5,2060,4200,0,2,0
339989,Maple Valley,0,3,2.5,2060,4200,0,2,0
398096,Maple Valley,1,3,2.5,2370,5321,0,2,0
388598,Maple Valley,1,3,2.5,2370,4200,0,2,0
539000,Duvall,8,3,2.5,2830,9972,0,2,0
565000,Duvall,8,3,2.5,4040,8653,1140,2,0
624000,Duvall,10,5,3.75,3570,14648,0,2,0
330675,Duvall,8,4,3,1930,3031,730,1,0
326000,Duvall,10,3,2.25,1930,3462,0,2,0
352000,Duvall,9,3,2.5,2090,3002,420,2,0
350000,Duvall,9,3,2.5,2100,3574,410,2,0
299950,Duvall,9,3,2.5,1570,2577,0,2,0
350000,Duvall,12,3,2.5,1970,3655,0,2,0
302000,Auburn,15,4,2.5,1740,7895,0,2,0
465750,Renton,7,3,2.5,2670,4534,0,2,0
478000,Renton,7,3,2.5,3040,4535,0,2,0
748000,Redmond,14,4,3.5,2770,3330,800,2,0
615000,Redmond,13,3,2.5,1910,3427,0,2,0
375000,Seattle,5,3,2.5,1530,1131,0,3,0
375000,Seattle,6,3,2.5,1440,1102,0,3,0
360000,Seattle,5,3,2.5,1530,1131,0,3,0
452000,Seattle,16,3,2.5,1530,5032,0,2,0
730000,Seattle,0,3,2.5,2160,8809,620,1,0
380000,Seattle,4,3,2.25,1550,1485,0,3,0
375000,Seattle,4,3,2.25,1540,1561,0,3,0
349000,Seattle,12,3,2.5,1430,1002,0,3,0
400000,Seattle,13,3,2.5,1460,1319,0,3,0
349950,Seattle,12,3,2.5,1420,1162,0,3,0
355000,Seattle,9,3,2.25,1370,1524,0,3,0
398000,Seattle,16,3,1.5,1310,2996,0,2,0
325000,Seattle,16,3,1.5,1310,2998,0,2,0
290000,Seattle,16,2,1,900,2728,0,2,0
676000,Sammamish,11,4,2.5,2800,5368,0,2,0
389999,Issaquah,11,3,2.25,1445,1471,145,2,0
387000,Issaquah,11,3,2.25,1445,1606,145,2,0
310000,Issaquah,11,2,2.5,1090,923,0,2,0
400000,Issaquah,11,3,2.5,1600,2388,0,2,0
355000,Issaquah,10,3,2.25,1410,1332,120,2,0
391000,Issaquah,10,3,2.25,1410,1290,120,2,0
384500,Issaquah,9,3,2.5,1600,2610,0,2,0
379500,Issaquah,9,3,2.25,1410,1287,120,2,0
377500,Issaquah,9,3,2.25,1410,1377,120,2,0
375000,Issaquah,9,3,2.5,1600,2042,0,2,0
533500,Issaquah,9,3,3.5,2490,3517,770,2,0
550000,Issaquah,9,3,3.5,2490,3582,770,2,0
366000,Issaquah,9,3,2.25,1445,1028,145,2,0
355000,Issaquah,9,3,2.25,1445,1087,145,2,0
415000,Issaquah,11,3,2.25,1445,1512,145,2,0
849990,Sammamish,0,4,2.75,3300,4987,0,2,0
859990,Sammamish,0,4,2.75,3520,5500,0,2,0
888990,Sammamish,0,4,2.75,3540,5500,0,2,0
922755,Sammamish,0,4,3.5,3560,4951,0,2,0
949990,Sammamish,1,4,4,3970,7314,0,2,0
280000,Kent,26,4,2.25,1930,7207,570,1,0
900000,Sammamish,17,4,2.5,3510,6745,0,2,0
797500,Sammamish,17,4,2.5,3270,8223,0,2,0
482500,Seattle,7,2,2.5,1170,809,0,2,0
775000,Woodinville,18,4,2.5,3890,34513,0,2,0
590000,Woodinville,23,4,2.5,2940,29013,0,2,0
824000,Woodinville,18,4,3.5,3650,57538,0,2,0
949000,Woodinville,24,4,3,4270,85643,0,2,0
710800,Woodinville,22,3,2.5,2880,36820,0,2,0
829950,Woodinville,22,4,2.5,3430,42775,0,2,0
456500,Renton,7,4,2.5,2400,6811,0,2,0
495500,Renton,9,3,2.5,3190,7828,0,2,0
655000,Kirkland,13,4,2.5,2570,4412,0,2,0
653750,Kirkland,11,4,2.5,2460,4166,0,2,0
282900,Auburn,0,4,2.5,1710,3500,0,2,0
261000,Auburn,2,3,2.25,1584,2800,0,2,0
263000,Auburn,3,3,2.5,1584,3200,0,2,0
260000,Auburn,4,3,2.25,1489,2800,0,2,0
267000,Auburn,2,3,2.25,1584,2800,0,2,0
265000,Auburn,3,3,2.25,1489,2800,0,2,0
319900,Auburn,0,4,2.75,2475,4276,0,2,0
319900,Auburn,0,4,2.75,2475,4000,0,2,0
298000,Auburn,0,3,2.5,1852,4000,0,2,0
329900,Auburn,0,4,2.75,2475,4000,0,2,0
298900,Auburn,0,3,2.5,1852,4000,0,2,0
335900,Auburn,0,4,2.75,2475,4000,0,2,0
425000,Auburn,29,3,2.75,3370,13929,720,2,0
269500,Auburn,15,4,2.25,1700,7056,0,2,0
659000,Sammamish,18,3,2.5,2510,6320,0,2,0
630000,Sammamish,18,4,2.5,2540,8706,0,2,0
665000,Sammamish,16,4,2.5,2510,5936,0,2,0
680000,Sammamish,16,4,2.5,2830,8399,0,2,0
365000,Renton,10,3,2.5,2200,4052,0,2,0
290000,Seattle,6,2,1.5,1020,1275,0,3,0
649000,Kent,23,5,3.25,3990,13087,1590,2,0
299000,Kent,10,3,2,1730,6007,0,1,0
650000,Sammamish,13,4,2.75,2640,6240,0,2,0
764000,Sammamish,17,4,2.5,2790,7938,0,2,0
780000,Sammamish,18,4,2.5,2730,10281,0,2,2
310000,Kent,4,4,2.5,2310,7384,0,2,0
375000,Kent,3,4,2.5,2310,7800,0,2,0
358000,Kent,5,3,2.5,2026,7611,0,2,0
355000,Renton,22,4,2.5,1780,15000,0,2,0
362500,Renton,15,3,2,1940,40588,0,1,0
435000,Maple Valley,29,3,2,2570,233481,0,1.5,0
520000,Maple Valley,23,3,1.75,1940,219527,0,1,0
364250,Maple Valley,20,3,2.5,2280,213879,0,2,0
649500,Maple Valley,24,3,3,3730,383328,1500,1.5,0
535000,Renton,12,5,2.5,3190,6178,0,2,0
780000,Issaquah,15,4,2.75,3640,231739,0,1.5,0
620000,Issaquah,26,3,2,2460,41343,0,1,0
850000,Issaquah,8,4,3.75,3890,22000,0,2,0
790000,Issaquah,4,4,3.5,3190,31450,0,2,0
592000,North Bend,29,3,2.5,2400,81892,0,2,0
850000,North Bend,16,3,2,2740,101930,0,1,2
410000,North Bend,19,4,2.5,1900,15123,0,2,0
429000,North Bend,19,3,2.5,1920,15124,0,2,0
920000,Bellevue,11,4,2.5,3810,13579,0,2,0
925000,Seattle,25,4,2.5,3110,11422,0,2,0
760000,Redmond,5,4,2.5,3330,7399,0,2,0
819900,Redmond,1,5,2.75,3150,7119,0,2,0
810000,Redmond,0,4,2.5,3340,8384,0,2,0
660000,Seattle,9,3,2.5,2650,11250,0,2,0
470000,Seattle,12,4,2.5,2470,8536,0,2,0
900000,Woodinville,12,4,3,3810,217800,0,2,0
692500,Woodinville,18,3,2.5,2420,198198,0,2,0
515000,Woodinville,28,3,2.5,2130,219978,0,2,0
800000,Woodinville,21,3,3.5,3830,221284,300,2,0
760000,Woodinville,30,4,2.5,3300,165528,0,2,0
599000,Woodinville,25,4,2.5,2790,230868,0,2,0
840000,Woodinville,15,4,2.5,3450,43216,0,2,0
613500,Seattle,6,3,3.25,1876,1531,0,3,0
693000,Redmond,18,3,2.5,2460,12028,0,2,0
566000,Redmond,11,3,2.5,2090,6294,0,2,0
675000,Redmond,11,3,2.75,2740,5735,0,2,0
662000,Redmond,30,3,1.75,2500,36947,0,1,0
352500,Redmond,29,3,1,1000,4171,0,1,0
408000,Redmond,27,3,2,1640,3440,0,2,0
369950,Redmond,27,3,2.5,1360,3718,0,2,0
395000,Redmond,27,3,2.5,1610,3755,0,2,0
420000,Redmond,28,3,1,1310,3963,0,1,0
379950,Redmond,30,3,2,1080,5077,0,1,0
419500,Redmond,28,3,2.5,1360,3188,0,2,0
540000,Seattle,20,3,2.25,1320,1800,0,2,0
372000,Seattle,15,4,2.5,2070,8658,0,2,0
389950,Renton,1,4,2.5,2240,5500,0,2,0
365000,Renton,17,3,2,2030,8649,0,1,0
322500,Renton,19,3,2,1190,6445,0,1,0
345000,Renton,10,4,2.5,2040,5875,0,2,0
392500,Renton,9,4,2.5,2150,7303,0,2,0
540000,Renton,7,5,2.5,3370,4850,0,2,0
440000,Renton,3,4,2.5,2230,5650,0,2,0
450000,Seattle,18,9,7.5,4050,6504,0,2,0
373000,Seattle,12,3,2,1400,2445,560,1,0
345000,Seattle,6,2,1.5,830,1034,0,2,0
310000,Seattle,3,1,1.5,1120,912,0,3,0
835000,Sammamish,29,4,2.5,2950,48351,0,2,0
660000,Sammamish,30,3,2.25,2675,40910,0,2,0
785000,Sammamish,26,4,2.75,2440,69415,530,1,0
749000,Sammamish,16,4,2.5,2930,18199,0,2,0
936000,Sammamish,13,7,3.75,5100,21802,1460,2,0
860000,Sammamish,13,4,3.25,3830,10005,0,2,0
350000,Seattle,11,2,1.5,1070,937,0,3,0
625000,Kirkland,21,3,2.5,1860,10027,0,2,0
730000,Redmond,24,4,2.75,3660,150282,0,2,0
715000,Redmond,25,3,2.5,2410,46609,0,2,0
894400,Redmond,24,3,2.5,3100,45738,0,2,0
600000,Redmond,27,4,2.25,2090,45738,0,2,0
610000,Redmond,27,4,2.25,2240,45738,0,2,0
542950,Woodinville,26,3,2.5,2070,39768,0,2,0
815000,Woodinville,24,3,2.5,2790,53143,0,2,0
576250,Seattle,26,2,1.75,1530,5000,270,2,0
503000,Seattle,28,3,2,1260,2500,510,1,0
437000,Seattle,10,3,2.25,1130,1221,100,2,0
825000,Seattle,0,3,3.5,2670,3000,800,2,0
641250,Seattle,24,3,2.5,2220,2550,0,3,2
722500,Seattle,11,4,3.5,2600,5100,780,2,0
536000,Seattle,5,2,1.5,1130,746,100,2,0
436000,Seattle,8,3,2.5,1150,1193,130,2,0
452950,Seattle,9,3,2.5,1150,1194,130,2,0
465000,Seattle,10,3,2.25,1450,1540,270,2,0
553000,Seattle,8,2,2,1400,1512,460,2,0
445000,Seattle,8,2,2.25,1200,1137,0,3,0
479950,Seattle,6,2,2.25,1360,1336,0,3,0
460000,Seattle,9,3,3.25,1370,1194,0,3,0
505500,Seattle,9,3,2.5,1300,1187,0,3,0
418000,Seattle,13,3,2,1250,1306,0,3,0
430000,Seattle,13,2,1.5,1320,1194,0,3,0
491000,Seattle,15,3,2,1250,1306,0,3,0
525000,Seattle,13,3,2.25,1750,1879,0,3,0
866800,Seattle,13,4,3.5,2970,5000,770,2,2
510000,Sammamish,23,3,2.5,2540,40106,0,2,0
760750,Sammamish,26,3,2.5,3190,49137,0,2,0
459500,Seattle,11,2,1.5,1170,1079,0,3,0
466000,Seattle,9,2,1.5,1140,1058,0,3,0
660000,Seattle,27,3,3.25,1980,2850,0,3,0
868500,Renton,6,3,2.5,2920,3942,0,3,0
798800,Renton,1,3,2.75,2670,3738,950,1,0
630000,Renton,3,2,2.25,2550,5663,830,1,0
602000,Seattle,16,3,2.5,1640,3804,0,2,0
819000,Seattle,29,3,2.75,3176,13391,450,2,3
950000,Federal Way,3,4,4,5635,9695,1275,2,3
459000,Seattle,1,4,3,2530,10000,0,2,0
358800,Kent,19,4,2.5,2155,8140,0,2,0
599000,Renton,8,5,2.5,2950,72309,0,2,0
678500,Renton,23,4,3,2620,214750,0,2,0
550000,Maple Valley,30,3,2.5,2720,62310,680,1,0
470000,Maple Valley,17,3,2,1730,38884,0,1,0
513000,Maple Valley,20,3,2.5,2150,161607,820,2,0
759000,Sammamish,8,3,2.25,2950,78843,0,1.5,0
435000,Seattle,7,3,1.5,1180,1231,0,3,0
685000,Redmond,21,3,2.5,2320,219978,0,2,0
780000,Redmond,23,4,3.25,3900,40962,0,2,0
950000,Woodinville,11,5,3,4530,258746,1330,1.5,0
348000,Seattle,7,2,2.5,1270,1242,0,3,0
272500,Maple Valley,16,3,2,1540,6250,0,1,0
334950,Maple Valley,16,4,2.5,2230,5500,0,2,0
332500,Maple Valley,17,4,2.5,2220,4720,0,2,0
337500,Maple Valley,15,5,2.5,2070,4698,0,2,0
325000,Maple Valley,17,3,2.5,1580,4698,0,2,0
315000,Maple Valley,16,5,2.5,2090,4698,0,2,0
628000,Seattle,0,5,2.75,2600,8160,0,2,0
450000,Seattle,11,3,2.5,1639,2710,160,2,0
365000,Seattle,6,2,1.5,820,1270,0,2,0
378000,Seattle,6,2,1.5,980,853,160,2,0
370000,Seattle,5,2,1,780,1133,0,2,0
362500,Seattle,5,2,1.5,940,1768,0,2,0
363000,Seattle,5,2,2,920,1201,120,2,0
546000,Seattle,7,4,2.5,2100,1397,520,3,0
400000,Seattle,8,3,2.5,1495,936,90,3,0
342000,Seattle,11,3,3,1260,1251,220,2,0
359000,Seattle,11,3,3,1320,1071,240,2,0
450000,Seattle,13,2,3,1790,1709,390,2,0
449000,Seattle,6,2,2.5,1460,1296,300,2,0
830005,Seattle,20,4,3.75,3610,7904,320,3,0
342000,Kent,16,3,2.5,2430,5715,0,2,0
570000,Federal Way,16,4,3.5,3990,23544,1690,1,2
625000,Federal Way,25,4,3.25,4240,25639,690,2,3
604000,Federal Way,19,3,2.5,3240,33151,0,2,2
600000,Federal Way,26,3,2.75,3580,14217,1370,2,3
330000,Seattle,18,3,2.5,1990,9995,0,2,0
403000,Seattle,5,2,1.5,1240,1101,160,2,0
462500,Seattle,1,6,3,2390,4000,0,2,0
380000,Seattle,1,5,3.5,2420,4670,0,2,0
365000,Kent,24,3,2.5,1720,99916,0,2,0
429000,Renton,23,3,2,1700,52826,0,1,0
365000,Woodinville,29,2,2,1440,15000,0,1,0
425000,Issaquah,26,3,1,1520,213444,0,1.5,3
725000,Woodinville,30,4,3,2420,12000,0,1,0
730000,Woodinville,26,3,3,3460,13129,900,2,0
760000,Woodinville,23,4,2.75,3370,12447,0,2,0
835000,Woodinville,28,4,2,3390,16025,0,2,0
762500,Woodinville,28,3,2.25,3330,15258,0,2,0
845000,Woodinville,28,3,3.5,3460,15745,0,2,0
950000,Woodinville,28,3,3,4040,14338,1010,2,0
515000,Seattle,6,3,2.25,1300,1180,0,3,0
535000,Woodinville,10,4,2.5,2280,65836,0,2,0
734000,Woodinville,24,4,2.5,3490,18521,0,2,0
750000,Sammamish,19,4,2.75,3430,13907,0,2,0
775000,Sammamish,18,4,2.75,3010,15992,0,2,0
707000,Sammamish,10,4,3.25,3200,7081,0,2,0
697000,Sammamish,10,4,2.5,3220,6399,0,2,0
712000,Sammamish,10,3,2.75,3200,6699,0,2,0
731000,Sammamish,9,4,2.5,3070,5936,0,2,0
722000,Sammamish,9,4,2.75,3190,5408,0,2,0
750000,Sammamish,9,4,2.75,3190,9023,0,2,0
786000,Sammamish,9,4,3.5,3320,8808,0,2,0
679950,Sammamish,14,4,2.5,2850,5664,0,2,0
317500,Auburn,3,4,2.5,2233,6025,0,2,0
815000,Sammamish,16,4,2.75,3488,9614,0,2,0
820000,Sammamish,15,4,2.5,3720,8633,0,2,0
828000,Sammamish,16,4,2.5,3520,9901,0,2,0
900000,Sammamish,16,5,3.75,3870,8225,0,2,0
770000,Sammamish,16,4,3,2800,9127,0,2,0
690000,Sammamish,15,4,2.5,2740,8120,0,2,0
672800,Sammamish,17,4,2.5,2740,10533,0,2,0
828950,Issaquah,1,4,3.5,3930,5680,1110,2,1
445000,Renton,18,3,2,1540,67953,0,1,0
675900,Renton,1,3,2.5,2920,9096,0,2,0
365000,Kent,11,4,2.5,2905,4874,0,2,0
724500,Sammamish,4,3,3.25,3240,4185,470,2,0
260000,Renton,10,3,2.5,1770,2677,0,2,0
515000,Federal Way,17,4,3,3590,8249,0,2,0
364988,Federal Way,17,3,2.5,2850,12593,0,2,0
350000,Federal Way,17,3,2.5,2730,7372,0,2,0
950000,Bellevue,15,5,3.25,3400,7452,0,2,0
380000,Maple Valley,6,4,2.5,2420,4981,0,2,0
435000,Maple Valley,5,4,2.5,3100,4699,0,2,0
798500,Bellevue,6,3,3,1950,1833,340,3,0
785000,Bellevue,5,3,3,1950,1983,340,3,0
516500,Seattle,0,1,1.25,1100,638,0,3,0
335000,Maple Valley,17,3,2.5,1700,6698,0,2,0
320000,Maple Valley,21,3,2.25,1650,7047,0,2,0
380000,Maple Valley,21,4,2.5,2320,10079,0,2,0
328000,Maple Valley,20,3,2.25,2020,8379,0,2,0
340000,Maple Valley,19,3,2.5,2170,9798,0,2,0
366000,Maple Valley,20,4,2.75,2170,9743,0,2,0
353000,Maple Valley,19,3,2.75,2170,8396,0,2,0
315000,Maple Valley,20,3,2.5,1660,10763,0,2,0
361500,Maple Valley,20,4,2.75,2190,6740,0,2,0
319950,Maple Valley,19,3,2.5,1700,7000,0,2,0
339995,Maple Valley,14,4,2.5,2180,5367,0,2,0
325000,Maple Valley,15,3,2.5,1740,5267,0,2,0
680000,Woodinville,30,4,2.75,2720,54048,0,2,0
674950,Issaquah,3,4,3.5,2650,3127,420,2,0
665000,Issaquah,3,4,3.5,2650,3474,420,2,0
569950,Federal Way,13,5,4.5,4850,40902,0,2,0
651000,Kent,23,3,2.5,3240,108366,0,2,0
327500,Kent,23,3,2.5,2090,12027,0,2,0
610000,Maple Valley,14,3,2.5,2080,167270,0,1,0
369950,Seattle,1,3,2.5,1930,8254,0,2,0
575000,Issaquah,13,4,2.5,2550,56628,0,2,0
543000,Issaquah,22,2,2,2370,217800,770,1.5,0
320000,North Bend,15,3,2,1550,34175,0,1.5,0
433200,North Bend,12,3,2.5,2075,16200,0,2,0
465000,North Bend,21,3,2,1840,40438,0,2,0
515000,Seattle,10,5,3,2530,5105,1010,1,0
285000,Seattle,16,2,1,990,2446,0,2,0
305000,Seattle,8,2,1.5,800,2142,0,2,0
342000,Kent,2,4,2.25,1964,3541,0,2,0
347500,Kent,3,4,2.5,2156,3562,0,2,0
282000,Kent,5,4,2.5,1785,2552,0,2,0
324000,Kent,15,3,2.5,1920,5322,0,2,0
295000,Kent,15,4,2.5,1810,4871,0,2,0
295000,Renton,5,3,2,1230,3405,0,1,0
699000,Seattle,8,4,2.5,2650,7945,0,2,0
337900,Seattle,15,3,3.5,1500,1471,0,3,0
402500,Seattle,19,3,1.75,1480,2211,0,2,0
415000,Seattle,20,3,1.75,1480,2200,0,2,0
300000,Seattle,23,3,2.5,1830,12750,0,2,0
275000,Auburn,12,3,1.75,1890,5000,0,1,0
275000,Auburn,11,3,2.5,3020,5868,0,2,0
275000,Auburn,12,3,2.5,2710,5733,0,2,0
289950,Auburn,11,3,2.5,2070,6145,0,2,0
315000,Kent,10,5,3,2110,10766,0,2,0
435000,Duvall,15,4,2.5,2650,9065,0,2,0
454000,Duvall,15,4,2.5,3040,12522,0,2,0
468000,Duvall,15,4,2.5,3040,20682,0,2,0
450000,Duvall,15,4,2.5,2520,8515,0,2,0
389000,Duvall,14,4,2.25,2130,5337,0,2,0
415000,Duvall,12,4,2.5,2230,5743,0,2,0
436000,Duvall,12,4,2.5,2495,5751,0,2,0
414000,Duvall,12,4,2.5,2120,6497,0,2,0
453250,Duvall,14,4,2.5,2260,6300,0,2,0
310000,Kent,20,4,2.5,1930,7014,0,2,0
401000,Seattle,13,3,3.25,1770,1977,0,3,0
387500,Seattle,13,3,3.25,1860,2218,0,3,0
389000,Federal Way,16,4,2.5,2420,9147,0,2,0
685000,Kent,23,3,2.5,3290,90796,0,2,0
920000,Maple Valley,11,3,3.25,3660,66211,0,2,0
833450,Issaquah,19,5,4,4460,269345,1130,2,4
523000,Issaquah,26,4,2.5,2660,65340,0,2,0
555000,Sammamish,26,4,1.75,1760,94525,0,1.5,0
850000,Redmond,29,5,2.25,3100,97661,0,2,0
770000,Redmond,20,3,2.5,2650,40705,0,2,0
740000,Woodinville,19,3,2,2100,72745,0,1,0
500000,Duvall,20,3,2.25,2990,216057,0,2,0
330000,Duvall,18,3,2,1400,218252,0,1,0
